programme_id,institution_id,institution_name,programme_name,country,degree_level,discipline,total_priority_fields,direct_field_count,hierarchical_added_field_count,effective_field_count,review_field_count,missing_field_count,completion_before_hierarchy_pct,completion_after_hierarchy_pct
7b6753ca-2400-51f3-b391-925e7ef33827,onisep-fr-stage1-037,École universitaire de recherche en sciences fondamentales et Ingénierie - Campus Plaine du Var - Écovallée,master mention gestion de l'environnement,FR,master,business,38,6,0,6,0,32,15.79,15.79
7c7925d8-0ea6-5d8d-8b1c-10af69f024bb,erasmus-nl-canary,Erasmus Universiteit Rotterdam,Research Master Business Data Science,NL,master,computer science,38,6,0,6,0,32,15.79,15.79
7dca1beb-82e4-515a-a5f8-8dae2a29f84d,discover-uk-stage1-010,Bath Spa University,Acting with Foundation Year at Boomsatsuma,UK,bachelor,other,38,8,4,12,0,26,21.05,31.58
80d11752-1297-5b81-aecd-cb6ab6bf37d1,utrecht-nl-canary,Universiteit Utrecht,Information Science,NL,bachelor,computer science,38,2,0,2,0,36,5.26,5.26
814d8802-d69b-59c9-808a-b733ffe17579,edinburgh-uk-canary,The University of Edinburgh,Computer Science,UK,bachelor,computer science,38,12,4,16,0,22,31.58,42.11
81849649-f1a0-5dba-9010-16cfb9609bf3,onisep-fr-stage1-005,Institut national supérieur du professorat et de l'éducation - antenne de Laon,licence mention professorat des écoles,FR,bachelor,other,38,5,0,5,0,33,13.16,13.16
81f197ab-e6ea-5bdf-b4c2-eb79ba966142,aalto-fi-canary,Aalto University,"Data Science, Bachelor/MSc",FI,bachelor,computer science,38,3,2,5,0,33,7.89,13.16
8322e08f-eb1d-50a8-bd91-33371fb57645,imperial-uk-canary,Imperial College London,Mathematics and Computer Science,UK,bachelor,computer science,38,11,4,15,0,23,28.95,39.47
847d059a-5d7f-567f-adb8-8980d7e567c6,duo-nl-stage1-006,Stg. Chr. Hoger Ber.ond. op Gereformeerde Grondslag,Information & Communication Technology,NL,bachelor,computer science,38,0,2,2,0,36,0.0,5.26
8606b6c5-bf41-54d1-87f7-95596c5d82cc,haaga-helia-fi-canary,Haaga-Helia University of Applied Sciences,Business Information Technology,FI,bachelor,computer science,38,8,4,10,0,28,21.05,26.32
87ff2832-35fa-524a-9ae3-c8b7aeabad3b,discover-uk-stage1-001,Abingdon and Witney College,Business and Management Practice,UK,bachelor,business,38,10,1,11,0,27,26.32,28.95
88803846-33d0-5f69-96cb-474eb2633037,onisep-fr-stage1-031,École universitaire de recherche en économie et Management (ELMI) - Campus Saint-Jean d'Angely,"master mention monnaie, banque, finance, assurance",FR,master,other,38,6,0,6,0,32,15.79,15.79
8e50c3cc-f732-5c1a-a6d9-5a011949e138,duo-nl-stage1-008,Stg. Kaht. Opleiding Leraren in het Basisonderwijs,Education in Primary Schools (age 4 - 12),NL,bachelor,other,38,2,2,4,0,34,5.26,10.53
8e8f2126-460d-5840-b1e8-d4144fbd4007,centrale-lille-fr-canary,Centrale Lille Institut,Master sciences des donnees,FR,master,other,38,6,0,6,0,32,15.79,15.79
8eb42e1e-62a2-5044-987d-01719cd7d204,discover-uk-stage1-004,Anglia Ruskin University,Law,UK,bachelor,other,38,10,5,14,0,24,26.32,36.84
8fdc5c4f-eace-5dd7-a0a2-85c3d9aeb144,onisep-fr-stage1-010,IUT Clermont Auvergne - site de Moulins,BUT techniques de commercialisation parcours business international : achat et vente,FR,bachelor,other,38,6,0,6,0,32,15.79,15.79
9436b038-a11f-554e-bf0b-894432db7716,discover-uk-stage1-004,Anglia Ruskin University,Fine Art,UK,bachelor,other,38,11,3,14,0,24,28.95,36.84
