programme_id,programme_name,institution_id,field_name,value_json,resolution_level,scope,donor_entity,donor_name,source_url,source_hash,raw_document_id,provider,source_authority,source_relationship,uncertainty,provenance,original_status,is_new
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,credential,bachelor universitaire de technologie,H0,programme,b71975da-c74a-5d2d-8e60-1ffed647fcee,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d2dd0470-da45-4259-b443-66cabcbe359e,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,duration,3 ans,H0,programme,b71975da-c74a-5d2d-8e60-1ffed647fcee,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d2dd0470-da45-4259-b443-66cabcbe359e,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,location,Digne-les-Bains,H0,programme,b71975da-c74a-5d2d-8e60-1ffed647fcee,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d2dd0470-da45-4259-b443-66cabcbe359e,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,delivery_mode,"temps plein, cours en présentiel",H0,programme,b71975da-c74a-5d2d-8e60-1ffed647fcee,target programme,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,,d2dd0470-da45-4259-b443-66cabcbe359e,onisep_higher_ed,,,0,Existing strict or hierarchy replay value.,DIRECT_ACCEPTED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,programme_language,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,programme_status,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,academic_cycle,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,MISSING,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,tuition,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,additional_fees,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,ABSTAINED,0
b71975da-c74a-5d2d-8e60-1ffed647fcee,BUT gestion administrative et commerciale des organisations parcours management responsable de projet et entrepreneuriat,onisep-fr-stage1-015,mandatory_fees,,,programme,,,,,,existing_strict_export,,,,Existing strict or hierarchy replay value.,EXISTING,0
